company,2022,2023,2024,2025,yoy_fy23,yoy_fy24,yoy_fy25,cagr,name
sony,3644.6,4267.7,4670.0,,17.1,9.4,,13.2,Sony Group Corporation
nintendo,1695.3,1601.7,1671.9,1164.9,-5.5,4.4,-30.3,-11.8,"Nintendo Co., Ltd."
ea,804.0,980.2,1096.5,1134.4,21.9,11.9,3.5,12.2,Electronic Arts
take_two,391.9,697.5,773.3,858.5,78.0,10.9,11.0,29.9,Take-Two Interactive
ubisoft,276.7,240.1,366.8,301.6,-13.2,52.8,-17.8,2.9,Ubisoft Entertainment
bandai_namco,373.5,381.1,366.1,450.1,2.0,-3.9,22.9,6.4,Bandai Namco Holdings
sega_sammy,235.9,282.8,318.0,321.5,19.9,12.4,1.1,10.9,Sega Sammy Holdings
square_enix,263.9,279.6,245.5,248.1,5.9,-12.2,1.1,-2.0,Square Enix Holdings
